Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
03-10-2022',17102.1,,9999999,16887.35,285850587,21860.54
04-10-2022',17147.45,17287.3,17117.3,17274.3,231601639,18480.43
06-10-2022',17379.25,,9999999,17331.8,268239320,20404.46
07-10-2022,17287.2,17337.35,17216.95,17314.65,216273136,17043.26
10-10-2022,17094.35,,88888888,17241,234005512,16220.67
11-10-2022,17256.05,17261.8,16950.3,16983.55,282617982,22178.37
12-10-2022,17025.55,,88888888,17123.6,256037322,18098.41
13-10-2022,17087.35,17112.35,16956.95,17014.35,266438674,18189.64
14-10-2022,17322.3,,9999999,17185.7,226997138,17813.47
17-10-2022,17144.8,17328.55,8888888,17311.8,212223419,16887.83
18-10-2022,17438.75,,17434.05,17486.95,239493630,18224.95
19-10-2022,17568.15,17607.6,17472.85,17512.25,210480869,17200.79
20-10-2022,17423.1,,17421,17563.95,249604832,18345.6
21-10-2022,17622.85,17670.15,17520.75,17576.3,277702680,23547.38
24-10-2022,17736.35,,17707.4,17730.75,45029477,3772.49
25-10-2022,17808.3,17811.5,17637,17656.35,251358203,20338.32
27-10-2022,17771.4,,17654.5,17736.95,324649088,24166.3
28-10-2022,17756.4,17838.9,17723.7,17786.8,250030113,19099.59
28-10-2022,17756.4,17838.9,17723.7,17786.8,250030113,19099.59
28-10-2022,17756.4,17838.9,17723.7,17786.8,250030113,19099.59
